City,State,Population,high_school,bachelor,graduate,unemployment,median_income,obesity_rate
Muncie,Indiana,70211,88.7,21.5,8,6.9,32334,31.3
Noblesville,Indiana,57584,94.4,43.9,13.5,2.5,73398,24.7
South Bend,Indiana,101190,82.8,22.8,8.4,8.3,36273,29.5
Terre Haute,Indiana,60956,84.4,20.4,8.6,12.9,30490,30.9
Kansas City,Kansas,149636,77,16.3,4.9,8.5,41255,31.1
Lawrence,Kansas,92763,93.1,50.1,25.1,5.1,46564,25.2
Lenexa,Kansas,51042,95.5,54.9,20.1,2.5,82719,23
Manhattan,Kansas,56078,95.1,50.2,24.1,7.4,45277,9.8
Olathe,Kansas,133062,95,47,16.3,2.6,80242,23
Overland Park,Kansas,184525,98,61.5,22.2,2.3,81144,23
Shawnee,Kansas,64599,93.6,45.5,17.8,2.6,88636,23
Topeka,Kansas,127215,88.9,29.3,10.6,4.8,43860,29.4
Wichita,Kansas,388413,87.1,26,9.7,5.3,46894,28.3
Bowling Green,Kentucky,62479,84.8,27.1,10.9,7.8,35420,29.5
Fayette,Kentucky,286518,85.8,35.6,14.5,5.4,51948,27.5
Lexington-Fayette,Kentucky,310797,90,41.6,18.9,5.4,51948,27.5
Louisville,Kentucky,262764,76.1,21.3,8.7,7.4,37470,27.6
Owensboro,Kentucky,58374,85.5,19.9,8.1,6.9,39550,29.1
Baton Rouge,Louisiana,228895,89.2,32.9,13.7,8.3,41224,27.7
Bossier City,Louisiana,67472,86.6,20.5,6.1,5.7,46322,27.1
Kenner,Louisiana,67064,83.3,22.9,6.8,5.8,44647,28.3
Lafayette,Louisiana,126066,87.4,38.4,12.1,8.1,47830,25.4
Lake Charles,Louisiana,74889,85.6,25.3,9.4,9.1,38256,31.7
Metairie,Louisiana,138481,91.1,36.4,11.5,3.9,53715,28.3
New Orleans,Louisiana,384320,86,36,15.6,7.2,39077,27.5
Shreveport,Louisiana,198242,86.4,24.9,9.3,10.2,38497,27.8
Boston,Massachusetts,655884,85.9,46.6,20.6,5.6,58263,17.1
Brockton,Massachusetts,94779,84.8,18.1,4.6,6.7,43206,21.7
Brookline,Massachusetts,58732,96.6,80.6,52.5,3.5,101770,19.1
Cambridge,Massachusetts,109694,96,78.5,52.2,6.1,89847,21.5
Chicopee,Massachusetts,55795,85.2,17.3,6.1,4.8,48679,25.9
Fall River,Massachusetts,88712,73.9,13.5,3.9,7,39547,26.9
Framingham,Massachusetts,68318,87.9,46.6,18.5,3.6,70355,21.5
Haverhill,Massachusetts,62488,88.1,28.6,9.9,5.4,60348,23.7
Lawrence,Massachusetts,78197,68.3,9.7,3.6,8.4,36969,23.7
Lowell,Massachusetts,109945,80.4,22.1,8.5,6.6,47727,21.5
Lynn,Massachusetts,92137,78.8,19.5,6.9,6.2,49332,23.7
Malden,Massachusetts,60859,85.9,32.9,14.6,6.1,58217,21.5
Medford,Massachusetts,57437,91.5,44.8,21.1,3.4,81069,21.5
New Bedford,Massachusetts,94845,73,17.3,6.1,8.7,36808,26.9
Newton,Massachusetts,88287,97.4,76.6,46.3,2.9,126649,21.5
Peabody,Massachusetts,52376,90.3,29.3,10.3,3.5,60058,23.7
Quincy,Massachusetts,93397,88.3,40.9,14,3.4,66415,19.1
Revere,Massachusetts,54157,82.2,19.5,6.2,5.7,52483,17.1
Somerville,Massachusetts,78901,89.7,60.1,29.4,3.5,86012,21.5
Springfield,Massachusetts,153991,77.1,17.5,6.7,8.5,38398,25.9
Taunton,Massachusetts,56544,82.1,18.8,6.1,6,56177,26.9
Waltham,Massachusetts,63014,90.1,48.7,21.5,3.6,79754,21.5
Weymouth Town,Massachusetts,55643,93.4,32.6,10.2,5.7,94039,19.1
Weymouth,Massachusetts,54393,90.5,26,7.7,4,76594,19.1
Worcester,Massachusetts,183016,82.9,28.2,10.9,6.3,43572,24
Baltimore,Maryland,622793,84.7,29.9,13.3,8.4,44165,12.3
Bethesda,Maryland,60858,98.7,83,54.8,2.5,144018,18.8
Bowie,Maryland,57646,95.9,49.8,21.8,4.2,109499,30.7
Columbia,Maryland,99615,95.7,62.8,29.8,3.6,102431,23.9
Dundalk,Maryland,63597,79.7,10,3.1,7.3,50673,26.4
Ellicott City,Maryland,65834,95.6,65.7,33.8,2.4,113378,23.9
Frederick,Maryland,68400,90.2,37.2,16.6,4.5,62500,26.4
Gaithersburg,Maryland,66816,86.7,52.4,23.7,3.7,85854,18.8
Germantown,Maryland,86395,90.2,50.5,23.5,4.1,85091,18.8
Glen Burnie,Maryland,67639,84.3,25.5,8.4,3.9,66111,25.5
Rockville,Maryland,65937,92.8,66,40.9,3.2,97377,18.8
Silver Spring,Maryland,71452,82.1,54.5,31.4,4,67623,18.8
Towson,Maryland,55197,95,61.9,32.6,3,76702,26.4
Waldorf,Maryland,67752,96.5,28.2,13,3,87223,31.9
Wheaton-Glenmont,Maryland,61910,78.1,34.2,15.5,4.2,81857,18.8
Portland,Maine,66666,95,50,21.3,4.8,52139,19.5
Ann Arbor,Michigan,117770,97.6,72.2,44.9,4.2,60147,27
Battle Creek,Michigan,51833,89.3,21.6,7,9.3,37371,30.3
Canton,Michigan,73490,92,39.4,14.7,2.5,73884,33.2
Dearborn Heights,Michigan,56415,85.8,20.4,7.8,8.2,44996,33.2
Dearborn,Michigan,95535,81.8,28.4,10.8,5.3,51424,33.2
Detroit,Michigan,680250,79.6,14.2,5.2,17.4,25980,33.2
Farmington Hills,Michigan,81435,94.8,52.2,21.8,3,70393,25.6
Flint,Michigan,99002,84.4,11.8,3.5,12.9,25342,33.6
Grand Rapids,Michigan,193792,85.4,33.6,11.1,6.3,41857,28.1
Kalamazoo,Michigan,75922,92.2,36,17.1,12.5,36536,27.9
Kentwood,Michigan,50764,89.6,33.6,11.8,3.9,50806,28.1
Lansing,Michigan,114620,88.1,26,8.9,6.4,37426,28.7
Livonia,Michigan,94958,93.8,34.3,13.3,3.2,72061,33.2
Novi,Michigan,58416,95,57.2,25.7,2.2,85688,25.6
Pontiac,Michigan,59808,78.6,11.4,3.7,10.7,29575,25.6
Rochester Hills,Michigan,73125,96.8,54.5,21.9,2.4,81124,25.6
Royal Oak,Michigan,59069,96.1,52.5,21.1,3.3,68256,25.6
Shelby,Michigan,68294,87.4,26.3,9.2,3.1,68471,29.4
Southfield,Michigan,73002,92.2,36.1,14,4.6,50557,25.6
St. Clair Shores,Michigan,60036,91.9,23.7,8,5.5,53149,29.4
Sterling Heights,Michigan,131741,85.9,25.4,10.1,3.5,61809,29.4
Taylor,Michigan,61594,82.9,9.8,2.8,9.2,40886,33.2
Troy,Michigan,83107,95.2,57.9,29.6,3.3,87447,25.6
Warren,Michigan,135099,84.5,18.9,5.8,4.7,43379,29.4
Waterford,Michigan,73473,87.2,23.9,6.6,4.1,62197,25.6
West Bloomfield Township,Michigan,65149,93.3,55.3,26.4,2.5,103641,25.6
Westland,Michigan,82314,89.5,19.7,5.9,4.5,45538,33.2
Wyoming,Michigan,74826,84.1,17.8,3.4,4.6,44047,28.1
Apple Valley,Minnesota,50487,95.6,42.6,14.5,2.5,80098,25.6
Blaine,Minnesota,61190,94.5,33.2,10.4,3.1,78718,27.7
Bloomington,Minnesota,86314,93.3,42,12.7,3.5,67845,22.8
Brooklyn Park,Minnesota,78728,89.9,27.6,6.5,4.1,62164,22.8
Burnsville,Minnesota,61630,93.9,36.9,11.2,2.8,65021,25.6
Coon Rapids,Minnesota,62112,93.2,25.9,7.1,3.8,66476,27.7
Duluth,Minnesota,86238,94.4,37.6,14.3,7.5,47832,25.3
Eagan,Minnesota,66084,96.7,48.6,14.3,3,78417,25.6
Eden Prairie,Minnesota,63228,97.1,60.9,22,2.5,102239,22.8
Lakeville,Minnesota,59866,96.4,47.7,13.1,2.1,97181,25.6
Maple Grove,Minnesota,66945,98,51.5,17.7,1.9,89498,22.8
Minneapolis,Minnesota,407207,87.9,48.3,20.2,4.5,54571,22.8
Minnetonka,Minnesota,51486,97.5,56.8,21.6,2.3,82291,22.8
Plymouth,Minnesota,75057,98.3,56.2,21.4,2.7,93203,22.8
Rochester,Minnesota,111402,93.6,45.2,22.5,4.2,66340,26.7
St. Cloud,Minnesota,66389,90.2,29.2,9.1,5.3,43647,27.2
St. Paul,Minnesota,297640,86.6,39.8,16.3,5.7,50267,25.5
Woodbury,Minnesota,66807,97.3,60.5,23.4,2.1,101785,26.7
Blue Springs,Missouri,53573,93.8,32.2,11.1,3.2,65580,30.8
Columbia,Missouri,116906,94.8,53.9,24.9,3.3,44160,28.7
Florissant,Missouri,52303,91.7,23.4,7.6,4.3,52263,28
Independence,Missouri,117494,87.1,19.2,6.1,5,42229,30.8
Joplin,Missouri,51316,88.2,24,8.3,7.8,40454,30.7
Kansas City,Missouri,470800,88.7,33.3,12.6,4.4,50259,30.8
Lee's Summit,Missouri,93864,96.4,46.6,16.7,2.2,75020,30.8
O'Fallon,Missouri,84009,93.8,36.9,15.2,2.4,74961,28
Springfield,Missouri,165378,90.4,28,10.8,6.6,36107,29.1
St. Charles,Missouri,68090,92,34.1,14.3,3.5,59006,28
St. Joseph,Missouri,76967,89.6,20.8,7.4,6.4,46398,32
St. Louis,Missouri,317419,85.8,34.7,15.3,7.8,38397,13.3
St. Peters,Missouri,56076,94.3,35.3,11.9,3.1,71006,28
Gulfport,Mississippi,71750,85.3,20.5,7,7.1,37268,30.8
Jackson,Mississippi,171155,86.3,26.9,12.4,8.9,32482,31
Southaven,Mississippi,51824,88.4,22.2,5.9,3.8,60341,31.6
Billings,Montana,108869,93.4,33.9,9.4,4.2,58375,25.7
Great Falls,Montana,59152,91,25.2,8.1,3.1,43277,24.4
Missoula,Montana,69821,98,46.5,22.4,7.5,37444,19.2
Asheville,North Carolina,87882,94.1,49.1,19.9,5.1,42558,21.2
Burlington,North Carolina,51812,81.9,23.1,6.9,8.1,34175,28.8
Cary,North Carolina,155227,96,63.6,27.9,3.1,95374,27
Chapel Hill,North Carolina,59376,95.6,74,44.7,4.5,64174,22.3
Charlotte,North Carolina,809958,88,41.9,14.7,6,53919,24.2
Concord,North Carolina,85560,89.6,32.4,11.2,5.4,52834,28.5
Durham,North Carolina,251893,86.1,47,21.9,5.6,52106,27.6
Fayetteville,North Carolina,203948,91.6,26.8,9.9,9.4,40408,31.1
Gastonia,North Carolina,73698,84.7,23,8.5,6.2,42713,28.6
Greensboro,North Carolina,282586,90.2,35.2,13.4,4.2,44934,27.8
Greenville,North Carolina,89852,90.3,36.8,16,8.7,34305,32.2
High Point,North Carolina,108629,82.5,30.2,8.8,6.1,40263,27.8
Huntersville,North Carolina,51567,95.4,54.9,16.3,2.5,90299,24.2
Jacksonville,North Carolina,69047,92.3,22.2,7.2,9.5,41375,29.8
Raleigh,North Carolina,439896,91,49.2,17.5,5.3,56910,27
Rocky Mount,North Carolina,56325,82.8,19.8,6.2,12.6,36092,32.3
Wilmington,North Carolina,113657,92.2,37.4,12.8,8.5,42232,23.8
Winston-Salem,North Carolina,239269,87.4,35.5,13.9,5.7,41287,24.7
Bismarck,North Dakota,68896,92,35.1,9.4,3.2,57596,15.8
Fargo,North Dakota,115863,94.2,36.1,11,4.3,45856,11.1
Grand Forks,North Dakota,56057,92.9,35,12.7,4.3,48603,11.6
Bellevue,Nebraska,53936,92.8,28.1,9,3.6,60153,28.5
Grand Island,Nebraska,51236,81,17.4,5.6,2.8,48597,18
Lincoln,Nebraska,272996,93.7,37.1,13.9,3.8,51503,26.3
Omaha,Nebraska,446599,88.9,34.8,12.2,4.3,51407,26.7
Manchester,New Hampshire,110448,87.4,29.2,9.6,3.8,54596,24.5
Nashua,New Hampshire,87259,91.2,35,12.9,4.3,67441,24.5
Bayonne,New Jersey,65975,86.9,32.9,12,4.9,53731,22.8
Camden,New Jersey,77332,67.5,9.5,1.4,15.9,25643,25.8
Clifton,New Jersey,85927,87.5,27.3,7.7,3.4,64700,24.7
East Orange,New Jersey,65078,87.1,19.4,6.1,13.3,40723,16.5
Edison,New Jersey,101207,87.6,42.3,17.2,4.1,89266,23.8
Elizabeth,New Jersey,128705,71.4,11.7,4.8,9,44016,21.1
Hoboken,New Jersey,53312,94,77.5,27.2,4.4,115892,22.8
Irvington,New Jersey,58920,72,12.1,2.7,12.5,42350,16.5
Jersey City,New Jersey,262146,86.1,43,16.5,10,59485,22.8
Lakewood,New Jersey,53805,79.9,26.8,10.7,8.9,39061,26.4
New Brunswick,New Jersey,57080,61.6,20.4,8.2,5.5,37976,23.8
Newark,New Jersey,280579,74.4,16,4.3,11.9,30966,16.5
Passaic,New Jersey,71509,64,13.7,3.7,4.7,26922,24.7
Paterson,New Jersey,146753,70,9.1,2.2,5,31552,24.7
Perth Amboy,New Jersey,52328,67.9,14.5,3.4,10.8,43499,23.8
Plainfield,New Jersey,50955,72.1,18.5,6.9,7.2,55729,21.1
Toms River,New Jersey,88791,93.2,32.9,11.2,4.7,75140,26.4
Trenton,New Jersey,84034,73.1,11.8,5.3,10.5,35041,22.2
Union City,New Jersey,68668,67.5,18.4,5.1,7.8,45558,22.8
Union,New Jersey,54050,80.9,26.5,8.4,4.5,76093,21.1
Vineland,New Jersey,61171,76.4,17.4,4.8,4.1,50770,27.2
Wayne,New Jersey,53657,89.2,41.5,15.4,3.9,95115,24.7
West New York,New Jersey,52597,73,24.3,8.9,10,45969,22.8
Albuquerque,New Mexico,557169,89.2,34.2,15.1,5.8,48357,20
Las Cruces,New Mexico,101408,84.2,28.4,13.4,8.4,40994,22.7
Rio Rancho,New Mexico,93820,91.3,29.2,11,4.9,64475,20
Carson City,Nevada,54522,86.8,20.7,8,7.6,48205,23.7
Clark,Nevada,65029,80.8,15.9,5.4,6,51306,24.8
Enterprise,Nevada,108481,93.8,29.5,8.4,3.9,70445,24.8
Henderson,Nevada,277440,93.3,31.3,11.9,5.5,64035,24.8
Las Vegas,Nevada,613599,83.4,23,7.9,8.4,49676,24.8
North Las Vegas,Nevada,230788,80.7,15.3,4.4,7.8,53952,24.8
Paradise,Nevada,223167,82.7,21.5,7.2,10,41646,24.8
Reno,Nevada,236995,86.7,31.3,12.1,5.6,50451,21.2
Sparks,Nevada,94708,86.8,24.1,8.6,7,52453,21.2
Spring Valley,Nevada,178395,88.4,24.7,6,5,49305,24.8
Sunrise Manor,Nevada,189372,73.1,10.7,3,7.3,39790,24.8
Albany,New York,98566,91,37.4,16.6,12.7,37097,25.6
Amherst,New York,122366,91.9,47.4,22.6,9.4,73647,26.9
Brentwood,New York,60664,67,12.7,3.9,5.7,76941,23.4
Bronx,New York,1383871,62.3,14.6,5.9,14.3,35176,15.4
Brooklyn,New York,2538705,68.8,21.8,8.8,10.7,51141,24.7
Buffalo,New York,258703,82.1,23.9,11,6.2,32509,26.9
Cheektowaga,New York,75178,90.4,20.7,8.2,4.6,52229,26.9
Clarkstown,New York,84187,90,45.2,20.4,3.1,103151,24.1
Clay,New York,58206,90.5,27.5,9.5,3.7,70798,27.3
Greenburgh,New York,88400,91,53.7,27.5,3.2,108856,19.1
Hempstead,New York,55527,71.2,17,6.6,6,56735,20.9
Irondequoit,New York,51692,91.9,34.8,13.1,3.7,55849,26.4
Levittown,New York,51881,92.4,31.3,12.3,4.4,101159,20.9
Manhattan,New York,1621897,78.7,49.4,23.4,8.5,75575,15.4
Mount Vernon,New York,68458,82.6,28.5,9.5,7.3,58097,19.1
New Rochelle,New York,79637,80.7,45.6,22.8,4.7,76496,19.1
New York,New York,8491079,80.9,36.8,15,6.2,55752,15.4
North Hempstead,New York,226322,87.1,45.8,22.8,3.7,114566,20.9
Queens,New York,2277251,74.4,24.3,9.2,7.7,60422,23.3
Ramapo,New York,126595,81.5,34.5,15.1,4.3,75820,24.1
Rochester,New York,209983,78.6,21.6,9.3,10.2,31946,26.4
Schenectady,New York,65936,84.2,22.8,6.8,5.3,46461,25
Staten Island,New York,481026,82.6,23.2,9.1,5.9,71622,24.5
Syracuse,New York,144263,82,29,12.1,6.6,36457,27.3
Union,New York,56346,84.8,23.5,9.8,4.9,44525,27
Utica,New York,61332,79.1,16.4,5.7,9.8,30363,24.4
White Plains,New York,58035,85.8,49,24.8,4.7,82502,19.1
Yonkers,New York,200667,83.6,31.5,12.9,6.7,56979,19.1
Akron,Ohio,197859,85.6,20.6,6,7.4,34300,27.6
Canton,Ohio,72297,85.3,14.4,5.7,7.8,30601,30.3
Cincinnati,Ohio,298165,89,34.3,13.4,8.3,35001,26.6
Cleveland,Ohio,389521,78.7,16.2,5.9,14.4,28831,28.3
Columbus,Ohio,835957,89.1,34.8,11.9,5.3,47401,30.2
Dayton,Ohio,141003,83.1,18.1,6.4,9.3,30135,30.5
Elyria,Ohio,53972,87.2,15.5,5.6,7.7,40886,29
Hamilton,Ohio,62486,85.2,14.9,4.7,5.5,41302,30.2
Kettering,Ohio,55705,94,31.9,13.1,4.7,53763,30.5
Lakewood,Ohio,50926,92.8,42.4,15.7,5.9,46546,28.3
Lorain,Ohio,63776,82.9,11,2.9,6.5,35447,29
Parma,Ohio,80015,91.2,20,5.8,5.1,52093,28.3
Springfield,Ohio,59956,82.4,15.2,5.4,9.5,35255,30
Toledo,Ohio,281031,85.9,16.8,5.6,8.1,35289,30
Youngstown,Ohio,65062,84,12.1,3.8,11.3,23984,28.1
Broken Arrow,Oklahoma,104726,93.6,29.7,7.7,2.9,70242,27.3
East Canadian,Oklahoma,72697,89.4,23,6,3,67712,27.7
Edmond,Oklahoma,88605,95.4,52.5,21.7,3,73885,27.9
Enid,Oklahoma,51386,85.5,21.5,7.6,5.5,48035,31.7
Lawton,Oklahoma,97017,88.7,19.7,6.1,7.8,42635,28.7
Midwest City,Oklahoma,57039,89.2,20.6,6,5.3,46698,27.9
Moore,Oklahoma,59196,91,22.7,6.6,3.7,61141,28.1
Norman,Oklahoma,118040,93.1,40.1,18.5,5,54159,28.1
North Cleveland,Oklahoma,102211,88.7,20.9,6.2,3.4,68902,28.1
Oklahoma City,Oklahoma,620602,85.6,30.1,10.7,4,50739,27.9
Tulsa,Oklahoma,399682,86.9,30.8,10.4,5.1,43322,27.3
Albany,Oregon,51980,88.7,22.6,7.8,8.2,45777,30
Beaverton,Oregon,95109,90.4,46.7,15.5,5.7,56564,24
Bend,Oregon,84080,97.3,47.2,17.9,4.2,52905,17.3
Corvallis,Oregon,54953,95.8,59.7,27.2,5.4,45090,22
Eugene,Oregon,160561,93.1,40.9,17.4,6.2,45927,26.1
Gresham,Oregon,109892,83.5,21.2,7.5,6.4,46457,23.3
Hillsboro,Oregon,99393,90.4,40,16.8,4.9,72242,24
Medford,Oregon,78557,85.9,20.9,6.5,7.1,40806,23.2
Northwest Clackamas,Oregon,248034,90.3,32,10.9,4.9,70404,25.7
Portland,Oregon,619360,91.3,48.6,19.2,5.7,60892,23.3
Salem,Oregon,161637,86.8,25.9,10.2,8.3,49037,29.5
Somerset West-Rock Creek,Oregon,62062,94.6,46,16.3,3.8,77929,24
Springfield,Oregon,60263,86.2,15.9,4.6,6.7,42625,26.1
Tigard,Oregon,50787,91.9,42.6,14.1,4.7,65481,24
Allentown,Pennsylvania,119104,77.5,15.5,4.5,7.2,36655,26.4
Bethlehem,Pennsylvania,75135,90.2,28.3,12.5,8,47289,30.1
Erie,Pennsylvania,99452,87.4,20.5,6.4,8.1,35139,29.8
Lancaster,Pennsylvania,59302,76.3,19.5,7.2,7.8,36256,27.4
Levittown,Pennsylvania,52983,92.3,16.3,4.6,4.2,72587,23.3
Philadelphia,Pennsylvania,1560297,83.1,27.4,10.9,9.2,41233,29.1
Pittsburgh,Pennsylvania,305412,92,41.3,20.4,6.8,41293,26.3
Reading,Pennsylvania,87812,70,11.5,3.4,9.2,26531,28
Scranton,Pennsylvania,75281,81.6,20.1,5.6,7.3,36630,25.3
Cranston,Rhode Island,81037,89.7,32.2,13.3,4.8,61963,24
Pawtucket,Rhode Island,71499,82.1,20.4,8.5,7.1,43886,24
Providence,Rhode Island,179154,77.5,30.1,13.5,9.3,39015,24
Warwick,Rhode Island,81963,92.4,34.2,10.5,5.7,74570,22.6
Charleston,South Carolina,130113,94.7,50.2,17.7,6.6,61993,25.5
Columbia,South Carolina,132067,88,40.7,18,10.2,41435,30
Dutch Fork,South Carolina,66450,89.3,35,10.9,3.1,55536,30
Greenville,South Carolina,62252,87.7,42.7,17.3,6.3,43059,24.4
Mount Pleasant,South Carolina,77796,97.8,64.6,22.7,3,82826,25.5
North Charleston,South Carolina,106749,85.5,22.6,7.1,9.5,40365,25.5
Rock Hill,South Carolina,69967,88,29.7,10.9,9.9,40885,28
Rapid City,South Dakota,72638,95.7,32.1,9.7,4.8,49702,24.5
Sioux Falls,South Dakota,168586,90.2,33.5,9.7,3.2,53802,26.7
Bartlett,Tennessee,58264,94.2,35.6,12.8,2.3,82666,32.8
Chattanooga,Tennessee,173778,82.9,26,10.3,7.7,40004,28.5
Clarksville,Tennessee,146806,93.7,26.4,9.4,7.2,46113,29.6
Franklin,Tennessee,70612,94.7,57.7,21.5,3.2,91786,25.1
Hendersonville,Tennessee,55153,93.8,32.8,10.1,3.6,64339,28.2
Jackson,Tennessee,67319,91.6,30.1,11.1,4.3,43876,30.5
Johnson City,Tennessee,65813,91,40.3,14.9,6,40481,29
Kingsport,Tennessee,53028,87.6,25.3,10.5,4.8,39012,30.2
Knoxville,Tennessee,184281,88.9,29.2,12.4,6.5,37200,27.5
Memphis,Tennessee,656861,84,24.9,9.8,8.7,36908,32.8
Metropolitan Government,Tennessee,620916,81.5,30.5,10.4,5.2,52026,30.1
Murfreesboro,Tennessee,120954,92,39.5,13.4,7.6,52266,30.9
Nashville-Davidson,Tennessee,644014,88.1,37.9,14.7,3.6,51393,30.1
Abilene,Texas,120958,83.2,24.6,7.7,8.9,43059,27
Allen,Texas,94179,95.6,51.6,17.1,2.5,91204,24
Amarillo,Texas,197254,83.1,22.2,7.3,5.5,45818,29.7
Arlington,Texas,383204,84.6,29.1,8.4,4.2,51400,26.1
Atascocita,Texas,65844,90.9,31.9,9,2.8,80127,26
Austin,Texas,912791,87.5,46.7,16.9,4.9,56351,21.7
Baytown,Texas,76127,77.3,16.2,3.9,7.6,51791,26
Beaumont,Texas,117585,85.5,23.5,8.3,8.2,47570,30.3
Brazosport,Texas,71908,77.1,19.4,5.8,7.2,62049,29.1
Brownsville,Texas,183046,64,16.1,4,13,34050,25.4
Bryan,Texas,80913,82.9,30.2,12,5.3,44486,26.4
Carrollton,Texas,128353,85.4,36.3,11.1,3,67365,27.1
Cedar Park,Texas,63574,95.5,44.4,14.1,1.9,90762,24.1
College Station,Texas,103483,91.7,54.5,25.5,12.8,37478,26.4
Conroe,Texas,65871,78.8,27.1,10.3,7,50112,24.9
Corpus Christi,Texas,320434,81.1,20.9,7.1,7.3,51255,26.6
Dallas,Texas,1281047,74.8,31.8,11.5,4.1,45918,27.1
DeSoto,Texas,51934,90.5,30.5,10.1,4.6,61062,27.1
Denton,Texas,128205,89,35.8,12.8,7.3,52023,28.4
East Grayson,Texas,86658,79.2,17.2,6,5.1,46843,25.4
East Jefferson,Texas,111383,76.9,12.6,3.3,8.9,48694,30.3
Edinburg,Texas,83014,74.7,26.1,8.4,9.7,41004,28.7
El Paso,Texas,679036,79.4,24.3,7,5.2,45069,24
Euless,Texas,53630,90.3,33.1,8.9,2.8,56871,26.1
Flower Mound,Texas,69650,97.1,61,21.4,2.5,120084,28.4
Fort Worth,Texas,812238,80.9,27.3,8.6,5,55888,26.1
Frisco,Texas,145035,96.7,60.3,21,2.3,123055,24
Garland,Texas,235501,78.2,22.8,6.2,4.6,55725,27.1
Georgetown,Texas,59102,92.5,44,17.4,5,66940,24.1
Grand Prairie,Texas,185453,78.7,24.1,6.6,5.4,60838,27.1
Grapevine,Texas,50844,93.2,46.2,15.5,2.5,81812,26.1
Harlingen,Texas,65914,73.3,15.8,5.9,4.9,35810,25.4
Houston,Texas,2239558,77.7,30.9,12,4.8,48064,26
Irving,Texas,232406,78.7,35.4,15.6,4.3,56846,27.1
Killeen,Texas,138154,92.1,20.7,5.2,9,44716,27.5
Laredo,Texas,252309,67.5,17.8,5,9,40660,28
League City,Texas,94403,95.3,43,14.3,4,111819,28.4
Lewisville,Texas,102889,87.2,33,8.7,3.5,56254,28.4
Longview,Texas,81593,82,20.4,6.3,7.3,44969,29.1
Lubbock,Texas,243839,84.6,26.8,10.1,6,45551,26
Mansfield,Texas,62246,94.4,41.3,11.8,3.9,93198,26.1
McAllen,Texas,138596,74,27.9,8.4,8.7,45186,28.7
McKinney,Texas,156767,92.3,47.2,15.6,2,83317,24
Mesquite,Texas,144416,79.1,17.3,5.7,3.7,47518,27.1
Midland,Texas,128037,85.7,28.1,8.7,5.4,80700,26.4
Mission,Texas,82431,70.9,27.3,9.7,10.6,47205,28.7
Missouri City,Texas,71710,93.8,47.4,18.8,4.5,92696,25.8
New Braunfels,Texas,66394,89.5,33.5,10.1,3.8,61330,24.1
North Richland Hills,Texas,68529,91.6,27.3,6.8,3.7,61498,26.1
Northeast Harris,Texas,50134,80.4,11.3,3.2,6.3,65614,26
Northeast Tarrant,Texas,472730,89.6,32,8.7,3,77367,26.1
Northwest Harris,Texas,464301,88.9,35.3,9.4,3.6,81585,26
Odessa,Texas,114597,80.1,19.5,5,7.3,66585,28.6
Pasadena,Texas,153887,70.2,13.8,3.5,7.1,50236,26
Pearland,Texas,103441,96.6,48.6,15.4,3.9,97209,29.1
Pflugerville,Texas,54644,92.9,37.1,11.3,2.4,81209,21.7
Pharr,Texas,75382,59.4,9.5,3.4,10.5,33269,28.7
Plano,Texas,278480,92.7,54.2,21.1,2.8,83769,24
Port Arthur,Texas,54548,71.9,10.8,2.8,13.3,36233,30.3
Richardson,Texas,108617,92.5,53.2,19.5,3.2,80398,27.1
Round Rock,Texas,112744,91.3,36.2,11.9,3.9,75974,24.1
Rowlett,Texas,58407,90.4,31.7,9.5,3.7,85953,27.1
San Angelo,Texas,98975,82.9,23.4,7.2,7,46353,26.6
San Antonio,Texas,1436697,81,24.2,8.2,5,48869,26.3
San Marcos,Texas,58892,85.7,30.9,9,8.7,29065,24.8
Southeast Harris,Texas,93921,88,23.2,7.5,4.8,79949,26
Southeast Hidalgo,Texas,124914,46.5,9.2,2.8,14.7,32867,28.7
Southeast Montgomery,Texas,288750,80.8,27.4,8.6,4.6,70796,24.9
Spring,Texas,54298,90.4,21.4,6.3,3.7,69136,26
Sugar Land,Texas,86777,94.5,59.9,24.9,4.1,111124,25.8
Temple,Texas,70765,89.9,26.7,8.6,4.8,44749,27.5
The Woodlands,Texas,93847,97.1,61.4,22.6,2.7,111327,24.9
Tyler,Texas,101421,82.7,29.1,9.2,3.7,43222,26.7
Victoria,Texas,66094,82.8,23.7,8.2,4.9,53779,27.7
Waco,Texas,130194,83.7,24.7,9.2,11.6,36792,31.3
Wichita Falls,Texas,105114,81.3,22.9,7.8,6.5,44448,26.4
Layton,Utah,72231,94.1,29.5,8.3,4.5,73242,23.4
Lehi,Utah,56275,96.8,39.8,10.6,2.9,81792,24.5
Millcreek,Utah,62139,94.1,44.1,16.4,5.2,60993,22.7
North Davis,Utah,179550,91.6,25.3,6.8,5,69208,23.4
Ogden,Utah,84316,83.1,19,6.7,8.7,42460,25.7
Orem,Utah,91781,88.4,35.4,11.6,4.6,55581,24.5
Provo,Utah,114801,91.6,43.3,12.8,6.4,46388,24.5
Salt Lake City,Utah,190884,90.5,44.4,19.7,5.8,48761,22.7
Sandy,Utah,91148,94.8,38.9,11.8,2.3,81581,22.7
South Davis,Utah,106781,93.2,34.2,10.1,3.4,77624,23.4
South Jordan,Utah,62781,97.3,43.1,15.6,2.7,99681,22.7
St. George,Utah,78505,91.8,26.7,11,6.1,55094,22.6
Taylorsville,Utah,60433,88.9,21.5,6,3.7,61894,22.7
